"måned"	"Opna konkursar"
"2009M06"	499
"2009M07"	298
"2009M08"	337
"2009M09"	393
"2009M10"	454
"2009M11"	388
"2009M12"	341
"2010M01"	358
"2010M02"	388
"2010M03"	465
"2010M04"	392
"2010M05"	411
"2010M06"	437
"2010M07"	247
"2010M08"	303
"2010M09"	399
"2010M10"	339
"2010M11"	371
"2010M12"	325
"2011M01"	364
"2011M02"	391
"2011M03"	424
"2011M04"	345
"2011M05"	416
"2011M06"	397
"2011M07"	239
"2011M08"	320
"2011M09"	375
"2011M10"	403
"2011M11"	370
"2011M12"	311
"2012M01"	342
"2012M02"	384
"2012M03"	349
"2012M04"	271
"2012M05"	309
"2012M06"	320
"2012M07"	213
"2012M08"	297
"2012M09"	330
"2012M10"	393
"2012M11"	336
"2012M12"	270
"2013M01"	395
"2013M02"	410
"2013M03"	379
"2013M04"	438
"2013M05"	487
"2013M06"	391
"2013M07"	247
"2013M08"	282
"2013M09"	379
"2013M10"	446
"2013M11"	347
"2013M12"	363
"2014M01"	418
"2014M02"	412
"2014M03"	469
"2014M04"	407
"2014M05"	408
"2014M06"	453
"2014M07"	247
"2014M08"	314
"2014M09"	474
"2014M10"	430
"2014M11"	362
"2014M12"	409
"2015M01"	405
"2015M02"	429
"2015M03"	460
"2015M04"	344
"2015M05"	429
"2015M06"	392
"2015M07"	193
"2015M08"	288
"2015M09"	398
"2015M10"	392
"2015M11"	393
"2015M12"	339
"2016M01"	316
"2016M02"	425
"2016M03"	422
"2016M04"	457
"2016M05"	414
"2016M06"	481
"2016M07"	216
"2016M08"	376
"2016M09"	406
"2016M10"	389
"2016M11"	370
"2016M12"	272
"2017M01"	372
"2017M02"	419
"2017M03"	463
"2017M04"	285
"2017M05"	411
"2017M06"	428
"2017M07"	256
"2017M08"	331
"2017M09"	366
"2017M10"	403
"2017M11"	456
"2017M12"	367
"2018M01"	416
"2018M02"	473
"2018M03"	412
"2018M04"	466
"2018M05"	421
"2018M06"	474
"2018M07"	271
"2018M08"	386
"2018M09"	419
"2018M10"	457
"2018M11"	453
"2018M12"	362
"2019M01"	424
"2019M02"	410
"2019M03"	499
"2019M04"	420
"2019M05"	442
"2019M06"	432
"2019M07"	305
"2019M08"	358
"2019M09"	453
"2019M10"	490
"2019M11"	438
"2019M12"	342
"2020M01"	447
"2020M02"	418
"2020M03"	380
"2020M04"	261
"2020M05"	322
"2020M06"	354
"2020M07"	225
"2020M08"	219
"2020M09"	356
"2020M10"	386
"2020M11"	416
"2020M12"	317
"2021M01"	224
"2021M02"	289
"2021M03"	326
"2021M04"	323
"2021M05"	278
"2021M06"	336
"2021M07"	156
"2021M08"	180
"2021M09"	324
"2021M10"	309
"2021M11"	312
"2021M12"	268
"2022M01"	275
"2022M02"	296
"2022M03"	367
"2022M04"	242
"2022M05"	338
"2022M06"	354
"2022M07"	209
"2022M08"	266
"2022M09"	360
"2022M10"	358
"2022M11"	352
"2022M12"	296
"2023M01"	416
"2023M02"	392
"2023M03"	509
"2023M04"	276
"2023M05"	398
"2023M06"	394
"2023M07"	225
"2023M08"	332
"2023M09"	389
"2023M10"	466
"2023M11"	367
"2023M12"	353
"2024M01"	407
"2024M02"	402
"2024M03"	324
"2024M04"	466
"2024M05"	387
"2024M06"	419
"2024M07"	261
"2024M08"	305
